app_id,student_id,uni_id,program_id,anko_program_type,apply_date,status,decision_days,visa_status,enrollment_date,agent_score
1,3,35,137,1+4,2020-01-30,Accepted,30,Rejected,,45
2,3,21,82,Fall Bachelor,2019-09-28,Accepted,68,Approved,,31
3,4,11,42,6+6,2019-09-23,Enrolled,45,Approved,2020-02-15,36
4,6,4,13,6+6,2019-06-12,Enrolled,53,Approved,2019-11-02,36
5,6,7,25,1+4,2019-04-15,Withdrawn,64,N/A,,46
6,7,6,23,6+6,2019-05-25,Rejected,41,N/A,,45
7,7,35,139,Fall Bachelor,2019-10-21,Rejected,32,N/A,,39
8,7,1,3,6+6,2019-03-21,Enrolled,35,Approved,2019-07-24,26
9,8,45,177,1+4,2019-07-02,Rejected,26,N/A,,18
10,8,17,68,1+4,2020-04-09,Withdrawn,67,N/A,,26
11,10,17,66,1+4,2019-05-14,Enrolled,55,Approved,2019-10-07,41
12,10,37,145,6+6,2020-03-18,Enrolled (delayed),52,Approved,2022-09-22,34
13,10,1,4,1+4,2019-08-07,Rejected,43,N/A,,49
14,11,5,17,Fall Bachelor,2020-10-09,Withdrawn,34,N/A,,47
15,11,38,150,1+4,2020-02-03,Enrolled (delayed),55,Approved,2021-02-13,36
16,11,32,125,1+4,2019-08-15,Enrolled,34,Approved,2019-12-30,40
17,13,26,103,1+4,2019-04-05,Accepted,42,Approved,,33
18,13,45,177,1+4,2019-09-21,Enrolled,23,Approved,2020-01-30,60
19,13,22,87,Fall Bachelor,2019-09-18,Enrolled,46,Approved,2020-01-29,49
20,14,2,6,6+6,2019-06-21,Withdrawn,62,N/A,,36
21,14,48,192,6+6,2020-04-07,Cancelled,21,N/A,,40
22,17,12,47,6+6,2019-11-25,Withdrawn,42,N/A,,38
23,17,41,161,1+4,2019-03-14,Rejected,35,N/A,,34
24,17,24,95,1+4,2019-07-05,Enrolled,32,Approved,2019-11-11,31
25,18,44,176,6+6,2020-04-22,Withdrawn,67,N/A,,25
26,18,14,55,6+6,2019-11-11,Rejected,46,N/A,,17
27,21,17,65,Fall Bachelor,2019-10-17,Enrolled,38,Approved,2020-02-23,51
28,21,30,118,Fall Bachelor,2019-08-22,Enrolled,34,Approved,2019-11-27,49
29,21,9,33,6+6,2019-11-19,Enrolled,56,Approved,2020-03-29,38
30,21,28,111,1+4,2019-07-21,Enrolled,40,Rejected,2019-11-18,42
31,21,41,161,1+4,2019-07-16,Enrolled,45,Approved,2019-11-18,43
32,22,3,9,6+6,2019-11-10,Enrolled,57,Approved,2020-04-11,40
33,23,42,167,1+4,2019-11-28,Withdrawn,35,N/A,,13
34,23,45,179,6+6,2019-10-14,Rejected,10,N/A,,34
35,24,13,51,Fall Bachelor,2020-01-21,Accepted,33,Approved,,37
36,24,33,131,6+6,2019-12-23,Rejected,59,N/A,,46
37,25,40,158,Fall Bachelor,2019-11-01,Enrolled,55,Pending,2020-04-11,38
38,25,43,169,6+6,2019-03-11,Rejected,52,N/A,,33
39,26,19,76,6+6,2019-11-02,Enrolled,32,Approved,2020-03-17,53
40,28,38,150,1+4,2019-10-04,Enrolled,56,Approved,2020-03-13,48
41,28,3,9,6+6,2020-01-08,Cancelled,34,N/A,,53
42,29,7,28,6+6,2019-03-08,Accepted,78,Pending,,49
