scholarship_id,app_id,scholarship_type,amount_yuan,sponsor,coverage
1,1,CSC Partial,23647,China Scholarship Council,Tuition only
2,2,CSC Full,61566,China Scholarship Council,Full tuition + stipend
3,4,CSC Full,55229,China Scholarship Council,Full tuition + stipend
4,11,Confucius Institute,11244,Confucius Institute HQ,Living stipend
5,16,CSC Full,55274,China Scholarship Council,Full tuition + stipend
6,17,ANKO Bridge,4733,ANKO Bridge Agency,Living stipend
7,28,ANKO Bridge,6154,ANKO Bridge Agency,Living stipend
8,29,CSC Partial,16655,China Scholarship Council,Tuition only
9,31,University Merit,12170,Host University,Tuition only
10,32,ANKO Bridge,7491,ANKO Bridge Agency,Living stipend
11,39,ANKO Bridge,7899,ANKO Bridge Agency,Living stipend
12,40,CSC Full,61920,China Scholarship Council,Full tuition + stipend
13,52,Provincial,11646,Province Government,Tuition only
14,58,Confucius Institute,9670,Confucius Institute HQ,Living stipend
15,59,CSC Partial,17548,China Scholarship Council,Tuition only
16,69,University Merit,6465,Host University,Tuition only
17,70,Confucius Institute,9579,Confucius Institute HQ,Living stipend
18,91,CSC Partial,26316,China Scholarship Council,Tuition only
19,98,CSC Partial,18124,China Scholarship Council,Tuition only
20,101,CSC Full,56262,China Scholarship Council,Full tuition + stipend
21,105,CSC Partial,24890,China Scholarship Council,Tuition only
22,107,University Merit,17742,Host University,Tuition only
23,110,CSC Partial,22820,China Scholarship Council,Tuition only
24,118,University Merit,20830,Host University,Tuition only
25,129,CSC Full,59076,China Scholarship Council,Full tuition + stipend
26,133,CSC Partial,20198,China Scholarship Council,Tuition only
27,134,CSC Full,60247,China Scholarship Council,Full tuition + stipend
28,145,University Merit,20392,Host University,Tuition only
29,152,CSC Partial,20347,China Scholarship Council,Tuition only
30,156,CSC Full,61128,China Scholarship Council,Full tuition + stipend
31,157,CSC Partial,16274,China Scholarship Council,Tuition only
32,159,CSC Partial,28461,China Scholarship Council,Tuition only
33,167,Confucius Institute,9533,Confucius Institute HQ,Living stipend
34,175,CSC Partial,20454,China Scholarship Council,Tuition only
35,176,University Merit,24094,Host University,Tuition only
36,178,University Merit,23830,Host University,Tuition only
37,180,CSC Partial,21327,China Scholarship Council,Tuition only
38,182,Confucius Institute,10107,Confucius Institute HQ,Living stipend
39,183,University Merit,13246,Host University,Tuition only
40,190,ANKO Bridge,3961,ANKO Bridge Agency,Living stipend
41,191,CSC Full,57372,China Scholarship Council,Full tuition + stipend
42,193,University Merit,15714,Host University,Tuition only
43,196,University Merit,5007,Host University,Tuition only
44,205,University Merit,18453,Host University,Tuition only
45,212,CSC Full,63258,China Scholarship Council,Full tuition + stipend
46,218,CSC Partial,17718,China Scholarship Council,Tuition only
47,219,CSC Partial,23275,China Scholarship Council,Tuition only
48,221,Provincial,12474,Province Government,Tuition only
49,222,Confucius Institute,12583,Confucius Institute HQ,Living stipend
50,226,CSC Partial,19039,China Scholarship Council,Tuition only
51,227,CSC Partial,23430,China Scholarship Council,Tuition only
52,230,Confucius Institute,12762,Confucius Institute HQ,Living stipend
53,231,University Merit,10426,Host University,Tuition only
54,234,Provincial,8049,Province Government,Tuition only
55,241,CSC Partial,15308,China Scholarship Council,Tuition only
56,244,University Merit,24449,Host University,Tuition only
57,245,CSC Partial,25600,China Scholarship Council,Tuition only
58,249,CSC Partial,24391,China Scholarship Council,Tuition only
59,251,University Merit,19936,Host University,Tuition only
60,270,CSC Partial,17740,China Scholarship Council,Tuition only
61,298,University Merit,6108,Host University,Tuition only
62,303,CSC Partial,18173,China Scholarship Council,Tuition only
63,304,University Merit,16542,Host University,Tuition only
64,307,Confucius Institute,13641,Confucius Institute HQ,Living stipend
65,308,CSC Partial,18799,China Scholarship Council,Tuition only
66,312,University Merit,22386,Host University,Tuition only
67,314,ANKO Bridge,9241,ANKO Bridge Agency,Living stipend
68,315,Provincial,8834,Province Government,Tuition only
69,316,Provincial,15233,Province Government,Tuition only
70,318,CSC Partial,18755,China Scholarship Council,Tuition only
71,326,Confucius Institute,16822,Confucius Institute HQ,Living stipend
72,343,University Merit,17112,Host University,Tuition only
73,366,Confucius Institute,9699,Confucius Institute HQ,Living stipend
74,369,CSC Partial,29790,China Scholarship Council,Tuition only
75,376,University Merit,12330,Host University,Tuition only
76,382,Provincial,9846,Province Government,Tuition only
77,383,CSC Partial,27390,China Scholarship Council,Tuition only
78,384,University Merit,13976,Host University,Tuition only
79,385,CSC Partial,23214,China Scholarship Council,Tuition only
80,396,ANKO Bridge,9197,ANKO Bridge Agency,Living stipend
81,406,Provincial,9935,Province Government,Tuition only
82,423,CSC Partial,18216,China Scholarship Council,Tuition only
83,429,University Merit,22849,Host University,Tuition only
84,430,Confucius Institute,11371,Confucius Institute HQ,Living stipend
85,432,CSC Partial,16159,China Scholarship Council,Tuition only
86,439,CSC Partial,19187,China Scholarship Council,Tuition only
87,440,University Merit,20231,Host University,Tuition only
88,446,CSC Partial,19305,China Scholarship Council,Tuition only
89,447,CSC Partial,20515,China Scholarship Council,Tuition only
90,450,University Merit,17836,Host University,Tuition only
91,451,University Merit,11608,Host University,Tuition only
92,460,University Merit,18773,Host University,Tuition only
93,463,CSC Partial,18639,China Scholarship Council,Tuition only
94,478,Confucius Institute,15951,Confucius Institute HQ,Living stipend
95,482,CSC Full,64079,China Scholarship Council,Full tuition + stipend
96,493,CSC Partial,21455,China Scholarship Council,Tuition only
97,495,CSC Partial,23988,China Scholarship Council,Tuition only
98,501,CSC Partial,15683,China Scholarship Council,Tuition only
99,502,CSC Partial,21479,China Scholarship Council,Tuition only
100,504,University Merit,8794,Host University,Tuition only
101,505,ANKO Bridge,9149,ANKO Bridge Agency,Living stipend
102,529,Confucius Institute,12129,Confucius Institute HQ,Living stipend
103,535,CSC Partial,19401,China Scholarship Council,Tuition only
104,539,CSC Partial,19135,China Scholarship Council,Tuition only
105,540,CSC Full,60986,China Scholarship Council,Full tuition + stipend
106,552,CSC Partial,15304,China Scholarship Council,Tuition only
107,556,CSC Partial,17559,China Scholarship Council,Tuition only
108,558,University Merit,10968,Host University,Tuition only
109,562,University Merit,24855,Host University,Tuition only
110,563,CSC Partial,24084,China Scholarship Council,Tuition only
111,567,University Merit,13153,Host University,Tuition only
112,568,Provincial,19212,Province Government,Tuition only
113,570,CSC Full,62143,China Scholarship Council,Full tuition + stipend
114,571,University Merit,7517,Host University,Tuition only
115,572,CSC Partial,17957,China Scholarship Council,Tuition only
116,577,ANKO Bridge,7400,ANKO Bridge Agency,Living stipend
117,578,CSC Partial,28382,China Scholarship Council,Tuition only
118,582,University Merit,12158,Host University,Tuition only
119,586,CSC Full,58295,China Scholarship Council,Full tuition + stipend
120,588,Provincial,17032,Province Government,Tuition only
121,596,CSC Partial,27338,China Scholarship Council,Tuition only
122,597,University Merit,9790,Host University,Tuition only
123,599,Confucius Institute,8314,Confucius Institute HQ,Living stipend
124,605,ANKO Bridge,7243,ANKO Bridge Agency,Living stipend
125,606,University Merit,20770,Host University,Tuition only
126,612,CSC Partial,16527,China Scholarship Council,Tuition only
127,619,ANKO Bridge,8148,ANKO Bridge Agency,Living stipend
128,621,CSC Partial,25791,China Scholarship Council,Tuition only
129,634,CSC Partial,15743,China Scholarship Council,Tuition only
130,640,Confucius Institute,12813,Confucius Institute HQ,Living stipend
131,641,University Merit,9904,Host University,Tuition only
132,642,CSC Partial,23405,China Scholarship Council,Tuition only
133,656,CSC Partial,29729,China Scholarship Council,Tuition only
134,664,Provincial,9564,Province Government,Tuition only
135,667,Confucius Institute,17647,Confucius Institute HQ,Living stipend
136,668,CSC Partial,17489,China Scholarship Council,Tuition only
137,673,Confucius Institute,16904,Confucius Institute HQ,Living stipend
138,676,Confucius Institute,15643,Confucius Institute HQ,Living stipend
139,677,CSC Partial,15735,China Scholarship Council,Tuition only
140,681,University Merit,24723,Host University,Tuition only
141,682,ANKO Bridge,7851,ANKO Bridge Agency,Living stipend
142,684,University Merit,6044,Host University,Tuition only
143,685,University Merit,10428,Host University,Tuition only
144,687,CSC Full,56802,China Scholarship Council,Full tuition + stipend
145,689,CSC Partial,17221,China Scholarship Council,Tuition only
146,692,CSC Full,64339,China Scholarship Council,Full tuition + stipend
147,698,CSC Full,55753,China Scholarship Council,Full tuition + stipend
148,699,CSC Partial,16650,China Scholarship Council,Tuition only
149,700,CSC Partial,27383,China Scholarship Council,Tuition only
150,701,ANKO Bridge,6748,ANKO Bridge Agency,Living stipend
151,710,Provincial,18620,Province Government,Tuition only
152,718,CSC Partial,24421,China Scholarship Council,Tuition only
153,721,Confucius Institute,11424,Confucius Institute HQ,Living stipend
154,722,Confucius Institute,16960,Confucius Institute HQ,Living stipend
155,726,CSC Partial,16198,China Scholarship Council,Tuition only
156,727,University Merit,20184,Host University,Tuition only
157,731,CSC Partial,25148,China Scholarship Council,Tuition only
158,732,CSC Partial,27668,China Scholarship Council,Tuition only
159,733,University Merit,16721,Host University,Tuition only
160,738,University Merit,17957,Host University,Tuition only
161,747,University Merit,21220,Host University,Tuition only
162,754,CSC Partial,27599,China Scholarship Council,Tuition only
163,757,CSC Full,58479,China Scholarship Council,Full tuition + stipend
164,760,Confucius Institute,10523,Confucius Institute HQ,Living stipend
165,762,University Merit,22376,Host University,Tuition only
166,763,University Merit,17894,Host University,Tuition only
167,764,University Merit,9476,Host University,Tuition only
168,765,CSC Partial,22789,China Scholarship Council,Tuition only
169,770,University Merit,11820,Host University,Tuition only
170,773,CSC Full,57768,China Scholarship Council,Full tuition + stipend
171,784,CSC Full,58114,China Scholarship Council,Full tuition + stipend
172,786,CSC Partial,28177,China Scholarship Council,Tuition only
173,790,University Merit,12043,Host University,Tuition only
174,793,CSC Partial,19472,China Scholarship Council,Tuition only
175,794,CSC Partial,15301,China Scholarship Council,Tuition only
176,800,CSC Partial,28003,China Scholarship Council,Tuition only
177,802,Provincial,17340,Province Government,Tuition only
178,803,University Merit,20771,Host University,Tuition only
179,808,University Merit,17260,Host University,Tuition only
180,815,CSC Partial,27750,China Scholarship Council,Tuition only
181,816,Confucius Institute,14512,Confucius Institute HQ,Living stipend
182,827,Confucius Institute,10304,Confucius Institute HQ,Living stipend
183,828,University Merit,20775,Host University,Tuition only
184,829,Confucius Institute,15945,Confucius Institute HQ,Living stipend
185,831,Confucius Institute,17372,Confucius Institute HQ,Living stipend
186,838,Confucius Institute,11546,Confucius Institute HQ,Living stipend
187,842,University Merit,15031,Host University,Tuition only
188,846,ANKO Bridge,5738,ANKO Bridge Agency,Living stipend
189,847,CSC Partial,25351,China Scholarship Council,Tuition only
190,854,Confucius Institute,12514,Confucius Institute HQ,Living stipend
191,861,University Merit,11144,Host University,Tuition only
192,862,ANKO Bridge,6868,ANKO Bridge Agency,Living stipend
193,863,Confucius Institute,16650,Confucius Institute HQ,Living stipend
194,867,CSC Partial,26841,China Scholarship Council,Tuition only
195,869,CSC Partial,21791,China Scholarship Council,Tuition only
196,881,ANKO Bridge,5237,ANKO Bridge Agency,Living stipend
197,884,Provincial,10423,Province Government,Tuition only
198,885,Confucius Institute,14066,Confucius Institute HQ,Living stipend
199,887,ANKO Bridge,7562,ANKO Bridge Agency,Living stipend
200,890,University Merit,6047,Host University,Tuition only
201,896,CSC Full,61168,China Scholarship Council,Full tuition + stipend
202,899,CSC Full,62470,China Scholarship Council,Full tuition + stipend
203,900,CSC Partial,23108,China Scholarship Council,Tuition only
204,901,University Merit,21653,Host University,Tuition only
205,903,CSC Partial,20764,China Scholarship Council,Tuition only
206,908,University Merit,6322,Host University,Tuition only
207,909,ANKO Bridge,8916,ANKO Bridge Agency,Living stipend
208,911,CSC Partial,28679,China Scholarship Council,Tuition only
209,912,CSC Partial,19672,China Scholarship Council,Tuition only
210,913,ANKO Bridge,9479,ANKO Bridge Agency,Living stipend
211,915,ANKO Bridge,7182,ANKO Bridge Agency,Living stipend
212,916,Provincial,9173,Province Government,Tuition only
213,923,Confucius Institute,10453,Confucius Institute HQ,Living stipend
214,926,Confucius Institute,14082,Confucius Institute HQ,Living stipend
215,931,ANKO Bridge,6408,ANKO Bridge Agency,Living stipend
216,933,CSC Partial,27802,China Scholarship Council,Tuition only
217,955,CSC Partial,26587,China Scholarship Council,Tuition only
218,958,University Merit,10161,Host University,Tuition only
219,963,Confucius Institute,10027,Confucius Institute HQ,Living stipend
220,965,University Merit,21207,Host University,Tuition only
221,972,ANKO Bridge,6023,ANKO Bridge Agency,Living stipend
222,973,University Merit,12513,Host University,Tuition only
223,975,CSC Partial,17360,China Scholarship Council,Tuition only
224,980,CSC Partial,27024,China Scholarship Council,Tuition only
225,986,CSC Partial,19432,China Scholarship Council,Tuition only
226,987,CSC Partial,21447,China Scholarship Council,Tuition only
227,989,ANKO Bridge,9091,ANKO Bridge Agency,Living stipend
228,993,CSC Partial,24058,China Scholarship Council,Tuition only
229,1000,CSC Partial,26869,China Scholarship Council,Tuition only
230,1001,Confucius Institute,10337,Confucius Institute HQ,Living stipend
231,1004,CSC Partial,17957,China Scholarship Council,Tuition only
